text,label
Win a free iPhone now! Click here.,spam
"Hey, are we still meeting for lunch?",ham
Urgent! Your bank account is locked. Verify now.,spam
"Mom called, she wants you to buy milk.",ham
"Congratulations, you won the lottery!",spam
Please review the attached project report.,ham
Free entry in 2 a wkly comp to win FA Cup final tkts,spam
I will be late for the class today.,ham
"XXXMobileMovieClub: To use your credit, click the WAP link",spam
Can you send me the notes for Python?,ham
